"order","mu","Tw","g0","Tv_human","alpha_star_human","tolerance","lit_alpha_scale","b","q","c","m","g1","zeta","v","w","Tv_bat"
"Carnivora",0.000217516250227361,1.60075228557809,0.571867679642469,1.47796947898577,64.4183916936124,"constant",69.0081791350911,0.2,2e-04,0.5,0.0476190476190476,0.9,0.2,1,1,1.005
"Carnivora",0.000217516250227361,0.60075228557809,0.571867679642469,0.477969478985772,58.2256910507921,"complete",62.4193658806479,0.2,2e-04,0.5,0.0476190476190476,0.9,0.2,1,1,0.005
"Cetartiodactyla",0.000302079460509702,1.45812279639685,0.367299310155387,1.47796947898577,26.9318668748512,"constant",26.9318668748512,0.2,2e-04,0.5,0.0476190476190476,0.9,0.2,1,1,1.005
"Cetartiodactyla",0.000302079460509702,0.458122796396845,0.367299310155387,0.477969478985772,24.3348783585834,"complete",24.3348783585834,0.2,2e-04,0.5,0.0476190476190476,0.9,0.2,1,1,0.005
"Chiroptera",9.30653650198376e-05,0.969455908329831,0.833867645767535,0.477969478985772,122.537382890844,"complete",122.537382890844,0.2,2e-04,0.5,0.0476190476190476,0.9,0.2,1,1,0.005
"Chiroptera",9.30653650198376e-05,1.96945590832983,0.833867645767535,1.47796947898577,135.427464801517,"constant",135.427464801517,0.2,2e-04,0.5,0.0476190476190476,0.9,0.2,1,1,1.005
"Diprotodontia",0.000265146118264908,0.514758719962936,0.354038056809317,0.111437411039613,28.409207558685,"complete",32.4849194968281,0.2,2e-04,0.5,0.0476190476190476,0.9,0.2,1,1,0.005
"Diprotodontia",0.000265146118264908,1.51475871996294,0.354038056809317,1.11143741103961,28.5252522187694,"constant",35.9361543992116,0.2,2e-04,0.5,0.0476190476190476,0.9,0.2,1,1,1.005
"Eulipotyphla",0.000412908409993219,0.322390264856496,0.757975295938306,0.477969478985772,102.726450638076,"complete",45.4250555469605,0.2,2e-04,0.5,0.0476190476190476,0.9,0.2,1,1,0.005
"Eulipotyphla",0.000412908409993219,1.3223902648565,0.757975295938306,1.47796947898577,113.809025672966,"constant",50.232610530331,0.2,2e-04,0.5,0.0476190476190476,0.9,0.2,1,1,1.005
"Perissodactyla",0.000229070908420691,0.578274055299594,0.391044038339987,0.477969478985772,27.4248120699994,"complete",46.2919967183629,0.2,2e-04,0.5,0.0476190476190476,0.9,0.2,1,1,0.005
"Perissodactyla",0.000229070908420691,1.57827405529959,0.391044038339987,1.47796947898577,30.3326098067775,"constant",51.1904201219148,0.2,2e-04,0.5,0.0476190476190476,0.9,0.2,1,1,1.005
"Primates",0.000122901534809064,1.84868668695778,0.631984246918879,2,69.3401688191337,"constant",34.765026012214,0.2,2e-04,0.5,0.0476190476190476,0.9,0.2,1,1,1.005
"Primates",0.000122901534809064,0.848686686957779,0.631984246918879,1,44.7147491860719,"complete",31.4248973122439,0.2,2e-04,0.5,0.0476190476190476,0.9,0.2,1,1,0.005
"Rodentia",0.000297093511279638,0.465350826773314,0.536308090137412,0.515733389016589,50.0852052225766,"complete",41.7177797493975,0.2,2e-04,0.5,0.0476190476190476,0.9,0.2,1,1,0.005
"Rodentia",0.000297093511279638,1.46535082677331,0.536308090137412,1.51573338901659,56.3483130013078,"constant",46.1367567000092,0.2,2e-04,0.5,0.0476190476190476,0.9,0.2,1,1,1.005
