"order","mu","Tw","g0","Tv_human","alpha_star_human","tolerance","lit_alpha_scale","b","q","c","m","g1","zeta","v","w","Tv_bat"
"Carnivora",0.000153958907427602,0.635112728665648,0.0483797644369601,0.477969478985772,0.757558821569511,"complete",0.814100376257095,0.2,2e-04,0.5,0.0476190476190476,0.9,0.2,1,1,0.005
"Carnivora",0.000153958907427602,1.63511272866565,0.0483797644369601,1.47796947898577,0.836934529985247,"constant",0.895159760775775,0.2,2e-04,0.5,0.0476190476190476,0.9,0.2,1,1,1.005
"Cetartiodactyla",0.000134459279543795,1.48672392982992,0.0283249723732092,1.47796947898577,0.554531414646091,"constant",0.554531414646091,0.2,2e-04,0.5,0.0476190476190476,0.9,0.2,1,1,1.005
"Cetartiodactyla",0.000134459279543795,0.486723929829924,0.0283249723732092,0.477969478985772,0.500778276612853,"complete",0.500778276612853,0.2,2e-04,0.5,0.0476190476190476,0.9,0.2,1,1,0.005
"Chiroptera",0.000213124504544678,2.00492253808737,0.0735668363142074,1.47796947898577,1.43285639368742,"constant",1.43285639368742,0.2,2e-04,0.5,0.0476190476190476,0.9,0.2,1,1,1.005
"Chiroptera",0.000213124504544678,1.00492253808737,0.0735668363142074,0.477969478985772,1.30869291357744,"complete",1.30869291357744,0.2,2e-04,0.5,0.0476190476190476,0.9,0.2,1,1,0.005
"Diprotodontia",0.000242334351695168,0.551083579845671,0.0287693452059828,0.111437411039613,0.641395680483949,"complete",0.567828883507388,0.2,2e-04,0.5,0.0476190476190476,0.9,0.2,1,1,0.005
"Diprotodontia",0.000242334351695168,1.55108357984567,0.0287693452059828,1.11143741103961,0.6440006086066,"constant",0.627425530188562,0.2,2e-04,0.5,0.0476190476190476,0.9,0.2,1,1,1.005
"Eulipotyphla",0.000912862275960251,1.35828574291176,0.0648104162519379,1.47796947898577,1.26763724718941,"constant",0.743162341374377,0.2,2e-04,0.5,0.0476190476190476,0.9,0.2,1,1,1.005
"Eulipotyphla",0.000912862275960251,0.358285742911757,0.0648104162519379,0.477969478985772,1.14682366830939,"complete",0.674287729633666,0.2,2e-04,0.5,0.0476190476190476,0.9,0.2,1,1,0.005
"Perissodactyla",7.6436068696859e-05,0.601316407106077,0.0331351352409023,0.477969478985772,0.544415501026837,"complete",0.681420077887912,0.2,2e-04,0.5,0.0476190476190476,0.9,0.2,1,1,0.005
"Perissodactyla",7.6436068696859e-05,1.60131640710608,0.0331351352409023,1.47796947898577,0.602589929326617,"constant",0.750916278912212,0.2,2e-04,0.5,0.0476190476190476,0.9,0.2,1,1,1.005
"Primates",0.00011107721122841,1.88559165661002,0.0544948635867119,2,0.842630170469369,"constant",0.617944672572019,0.2,2e-04,0.5,0.0476190476190476,0.9,0.2,1,1,1.005
"Primates",0.00011107721122841,0.885591656610021,0.0544948635867119,1,0.545162738394832,"complete",0.559108052582435,0.2,2e-04,0.5,0.0476190476190476,0.9,0.2,1,1,0.005
"Rodentia",0.000485969848614494,1.49393740119596,0.0451791527233385,1.51573338901659,0.797736139291504,"constant",0.710004399500041,0.2,2e-04,0.5,0.0476190476190476,0.9,0.2,1,1,1.005
"Rodentia",0.000485969848614494,0.493937401195961,0.0451791527233385,0.515733389016589,0.710583113028255,"complete",0.64378787227889,0.2,2e-04,0.5,0.0476190476190476,0.9,0.2,1,1,0.005
