"order","mu","mu_lci","mu_uci","N_mu","Tw_constant","Tw_complete","Tw_constant_lci","Tw_constant_uci","Tw_complete_lci","Tw_complete_uci","N_Tw","g0","g0_lci","g0_uci","N_g0","phylo_dist","Tv_human_constant","Tv_human_complete","rstar_constant","rstar_constant_lci","rstar_constant_uci","rstar_complete","rstar_complete_lci","rstar_complete_uci","N_cumulative","Vs_avg_constant","Vs_avg_constant_lci","Vs_avg_constant_uci","Vs_avg_complete","Vs_avg_complete_lci","Vs_avg_complete_uci","alpha_star_human_constant","alpha_star_human_constant_lci","alpha_star_human_constant_uci","alpha_star_human_complete","alpha_star_human_complete_lci","alpha_star_human_complete_uci"
"Monotremata",8.87685994119094e-05,0,0.000458081430275064,3,1.88210283583295,0.882102835832945,1.6905859447608,2.07361972690509,0.690585944760796,1.07361972690509,3,0.0814876091360059,0.0629752182720118,0.1,2,360.1322,1,0,0.877692480702987,0.661239791856124,1.10639731252198,0.881151092852708,NA,1.11995750251166,2.66666666666667,0.819654532780768,0.742778905852646,0.935553325087946,0.821205851337299,NA,0.943097954899898,1.36686877837202,0.933194441292134,1.96667800073679,1.37485222338951,NA,2.00683629736773
"Chiroptera",0.000253502428501678,0.00018328967941733,0.000323715177586025,83,2.00574739574301,1.00574739574301,1.96438259155616,2.04711219992986,0.964382591556155,1.04711219992986,83,0.0735668363142074,0.0643605761761378,0.0827730964522771,13,188,1.47796947898577,0.477969478985772,0.808253085729139,0.704167148478826,0.912166297059036,0.81568951599075,0.709545279625185,0.921947635600335,59.6666666666667,0.790281572762057,0.75410153794275,0.835450653482357,0.793253197495436,0.755687966765687,0.840061690537365,1.00705186815655,0.837198032833582,1.20148246664382,0.920122454951224,0.762485413026571,1.10135252696326
"Peramelemorphia",0.000582619670543094,0.000340847670178976,0.000824391670907213,7,1.31104938495146,0.311049384951461,1.17635926448496,1.44573950541796,0.176359264484963,0.445739505417959,7,0.0602613122033275,0.0417489213393334,0.0787737030673216,2,320,1.11143741103961,0.111437411039613,0.678260843776788,0.466687049785654,0.890239956156641,0.679187678514671,0.466880677264739,0.892801402554342,5.33333333333333,0.746970915445967,0.735930613912826,0.825318947289536,0.747210797836839,0.735883815030948,0.826487478609031,0.911820154670128,0.618117968689995,1.32232329141833,0.907689016306882,0.61449633055422,1.3197609823179
"Eulipotyphla",0.00110021180734225,0.00100589781959268,0.00119452579509183,46,1.35920067303286,0.359200673032862,1.30387894102996,1.41452240503577,0.303878941029959,0.414522405035765,46,0.0648104162519379,0.0412913327429513,0.0883294997609245,2,188,1.47796947898577,0.477969478985772,0.745850469111542,0.483010759781189,1.00757158247237,0.747603358200472,0.483973702486012,1.0103997205655,31.3333333333333,0.767268658352986,0.732492003506239,0.882558517360901,0.767864073677852,0.732320114931354,0.884021322414105,0.902239503422671,0.557804875605045,1.40198069454658,0.816327655720051,0.504001286673157,1.27017884555931
"Afrosoricida",0.000858249616622539,0.000655968648382701,0.00106053058486238,10,1.41982858694093,0.419828586940927,1.3051331431845,1.53452403069736,0.305133143184497,0.534524030697357,10,0.061319969870039,0.042807579006045,0.0798323607340331,2,197.8,1.45075724969886,0.450757249698861,0.700479773760356,0.490148512831049,0.91112232388524,0.702527977290654,0.490946708655606,0.915320893092554,7.33333333333333,0.753034287559603,0.731296108260282,0.834961764937368,0.753625033783506,0.731173463802837,0.836931777049905,0.8383298321887,0.569672849605398,1.20905998003966,0.767290952095424,0.520230620181693,1.11020855579014
"Hyracoidea",0.000220667006082974,0,0.000540501299554011,4,1.58009955403951,0.580099554039505,1.40917420772656,1.75102490035245,0.409174207726561,0.751024900352449,4,0.0619392476403169,0.0384201641313303,0.0854583311493035,1,197.8,1.45075724969886,0.450757249698861,0.679803555469658,0.403411723378968,0.952423710584434,0.681791864251965,NA,0.958628002604233,3,0.747370844714833,0.760402215271027,0.854766742772633,0.747891047554332,NA,0.857820184493538,0.807465830941838,0.48752451445939,1.29384539683302,0.73897761958681,NA,1.19175644309355
"Didelphimorphia",0.000941185997806381,0.000781268851070863,0.0011011031445419,16,1.26525127410703,0.265251274107026,1.17311745514193,1.35738509307212,0.173117455141934,0.357385093072117,16,0.0527734838429877,0.0292544003340011,0.0762925673519743,1,320,1.11143741103961,0.111437411039613,0.607864667711351,0.34304500455405,0.871975015703317,0.608670994675532,0.343281608408834,0.873858740422987,11,0.732550829079625,0.806654217739882,0.817107115473814,0.732668847130138,0.806414266600482,0.81794403894004,0.801407521968801,0.498020543542131,1.28230632195942,0.797617134351939,0.49512274934966,1.27840649544861
"Proboscidea",3.7014994295047e-05,0,0.0004063278251582,3,1.69413288886575,0.694132888865749,1.5026159977936,1.8856497799379,0.5026159977936,0.885649779937898,3,0.0553468838656273,0.0318278003566407,0.0788659673746139,2,197.8,1.45075724969886,0.450757249698861,0.592682931029707,0.334191903744728,0.874564879899943,0.593792445460375,NA,0.881908389759428,2.66666666666667,0.730560760091698,0.816030535893416,0.818258373256362,0.730690918516345,NA,0.821546555925635,0.688150344669784,0.43341796111945,1.13733148390027,0.62879562915239,NA,1.05001811114493
"Pilosa",0.000311080302829738,6.93083024656193e-05,0.000552852303193858,7,1.59198192869558,0.591981928695581,1.45729180822908,1.72667204916208,0.457291808229084,0.726672049162079,7,0.0476976247756041,0.031941335796772,0.0634539137544361,4,197.8,1.45075724969886,0.450757249698861,0.53154236239039,0.347055217736842,0.714179568239687,0.533700544202172,0.347552751913338,0.719227472762943,6,0.727620775257978,0.802659430542108,0.757082833692845,0.727567839724611,0.802174377585738,0.758630946141899,0.61467782100167,0.442725422291474,0.85932093145915,0.562745817810912,0.404045853408983,0.790747739518541
"Carnivora",0.000174658809346728,0.000125598468281724,0.000223719150411732,170,1.63833847773146,0.638338477731456,1.60935435702058,1.66732259844233,0.609354357020577,0.667322598442334,170,0.0483797644369601,0.0438869987532881,0.0528725301206321,94,188,1.47796947898577,0.477969478985772,0.53128791364088,0.479572478168388,0.582815029339662,0.533185710114796,0.480967169417269,0.5852736845858,144.666666666667,0.727627855223865,0.733133169055779,0.729513498421598,0.727579315275663,0.732867893799435,0.729755615325433,0.609483377132862,0.554318959421048,0.67032696112716,0.551655259263905,0.501244991945938,0.607358845363835
