"order","mu","mu_lci","mu_uci","N_mu","Tw_constant","Tw_complete","Tw_constant_lci","Tw_constant_uci","Tw_complete_lci","Tw_complete_uci","N_Tw","g0","g0_lci","g0_uci","N_g0","phylo_dist","Tv_human_constant","Tv_human_complete","rstar_constant","rstar_constant_lci","rstar_constant_uci","rstar_complete","rstar_complete_lci","rstar_complete_uci","N_cumulative","Vs_max_constant","Vs_max_constant_lci","Vs_max_constant_uci","Vs_max_complete","Vs_max_complete_lci","Vs_max_complete_uci","alpha_star_human_constant","alpha_star_human_constant_lci","alpha_star_human_constant_uci","alpha_star_human_complete","alpha_star_human_complete_lci","alpha_star_human_complete_uci"
"Monotremata",0.000127946849630374,8.27805248759998e-05,0.000197756614310666,3,1.83121439645485,0.831214396454855,1.63415276446188,2.02827602844783,0.634152764461876,1.02827602844783,3,0.946739913208549,0.725689742787292,1.16779008362981,2,360.1322,1,0,10.0306894297689,7.68184033174409,12.3879976827818,10.0431400038515,7.68683311795909,12.4155309645768,2.66666666666667,11.0617921565937,8.46042735178156,13.6757538963391,11.075591796787,8.46595140500999,13.7062967050325,210.819063152946,123.484138903942,321.888894398472,211.344066177217,123.64507570662,323.324807186915
"Chiroptera",9.30653650198376e-05,8.26842162852032e-05,0.000104749885230823,83,1.96945590832983,0.969455908329831,1.8753896918532,2.06352212480646,0.8753896918532,1.06352212480646,83,0.833867645767535,0.678414602658702,0.989320688876368,13,188,1.47796947898577,0.477969478985772,8.82843339853292,7.18478388677014,10.4726309332562,8.84239108883676,7.19425661412128,10.4925785922723,59.6666666666667,9.72972332596342,7.91064404952711,11.5516696451468,9.74518220491603,7.92111839567891,11.5737832850818,135.427464801517,89.6082849581878,190.731828328603,122.537382890844,81.0366253456567,172.689723732417
"Peramelemorphia",0.000463207104220922,0.000339698430654597,0.000631621467862759,7,1.27246878184188,0.272468781841879,1.12148234885523,1.42345521482853,0.121482348855228,0.423455214828531,7,0.705703618462541,0.484253826815648,0.927153410109434,2,320,1.11143741103961,0.111437411039613,7.54792318791664,5.17995692620485,9.92407626192268,7.55010366822092,5.18027307599739,9.93102576215141,5.33333333333333,8.31227209069969,5.69802208421482,10.9436305815516,8.31468421815932,5.6983700890214,10.9513326615199,112.916126662142,53.1201173838357,195.461067746557,112.280106828373,52.796781437995,194.520430654573
"Eulipotyphla",0.000412908409993219,0.00035788332643444,0.000476393680425793,46,1.3223902648565,0.322390264856496,1.22268443398291,1.42209609573008,0.222684433982914,0.422096095730078,46,0.757975295938306,0.486906552681512,1.0290440391951,2,188,1.47796947898577,0.477969478985772,8.09487830072053,5.21245935551648,10.9778236164139,8.09784725607364,5.2135307040807,10.9841417564371,31.3333333333333,8.91751336255025,5.73380151132866,12.111774222972,8.9207996206548,5.73498094762488,12.1187798238161,113.809025672966,47.1202893851338,209.626714532457,102.726450638076,42.5180005075772,189.292733187139
"Hyracoidea",0.000252540823529971,0.000170908402366885,0.000373164026261785,4,1.53591240104097,0.535912401040968,1.35573830155886,1.71608650052308,0.355738301558856,0.71608650052308,4,0.734688786033231,0.464261443792671,1.00511612827379,1,197.8,1.45075724969886,0.450757249698861,7.82214250323132,4.94363694180112,10.7102220807497,7.82839024916075,4.94545111080948,10.7262327591884,3,8.61567006247242,5.43800777601097,11.815071407924,8.62258366090467,5.4400029072289,11.8328223372134,107.107369408896,42.7258747734431,201.112653921784,97.8252622137689,38.9893667176151,183.940218202892
"Afrosoricida",0.000350122912388727,0.000268361115885809,0.00045679514103573,10,1.39402346104526,0.394023461045256,1.25819997814721,1.52984694394331,0.258199978147206,0.529846943943306,10,0.707657618819801,0.482769235183925,0.932546002455678,2,197.8,1.45075724969886,0.450757249698861,7.55281756741814,5.15577313129884,9.95512179806314,7.55673852865378,5.15700829877014,9.96437532649635,7.33333333333333,8.31768644177732,5.67140273805896,10.9780383326123,8.32202398237215,5.67276224214167,10.9882941184375,99.8426522666984,46.4717318539988,173.690430217252,91.1390494988952,42.3968458938737,158.679743455961
"Didelphimorphia",0.000504963889489417,0.000407496783981131,0.00062574366157473,16,1.23498367103574,0.234983671035738,1.11580436666026,1.35416297541121,0.115804366660264,0.354162975411211,16,0.627342675063896,0.356962486737189,0.897722863390603,1,320,1.11143741103961,0.111437411039613,6.72213493274533,3.83761220238849,9.60935218657949,6.72374023438208,3.8378827398383,9.61413728625899,11,7.3992505536859,4.22528541940723,10.594853898341,7.40102435628739,4.22558091420186,10.600156288305,89.5166268802337,29.1827279755431,183.23052775544,89.0034625189847,29.0056275578306,182.274841971923
"Proboscidea",0.000193450998566096,0.000115896604574893,0.000322902374780418,2,1.65167301757113,0.651673017571126,1.42490128952985,1.8784447456124,0.424901289529847,0.878444745612404,2,0.591986330839554,0.135251801062101,1.04872086061701,2,197.8,1.45075724969886,0.450757249698861,6.30175818712199,1.45106613384246,11.1625443979899,6.30904575593668,1.45221081228475,11.185995743165,2,6.93492183933049,1.69261472256405,12.3166008060928,6.94296822195736,1.69373569622403,12.3426056854979,69.4556971906651,3.90346141255221,218.503619333442,63.4819108914376,3.56464629448122,200.088736077596
"Carnivora",0.000217516250227361,0.000202118362699385,0.000234087187730401,170,1.60075228557809,0.60075228557809,1.51501421303514,1.68649035812104,0.51501421303514,0.686490358121041,170,0.571867679642469,0.44390182592657,0.699833533358368,94,188,1.47796947898577,0.477969478985772,6.09363800677203,4.7358178617398,7.45137112900295,6.10007539203387,4.73983033377141,7.4610690415245,144.666666666667,6.70518266866243,5.20956339342421,8.20546889015632,6.71228721340753,5.21397204196849,8.21619589352363,64.4183916936123,38.8972529397468,96.3967097511402,58.225691050792,35.1431278003973,87.1727530415767
"Pilosa",0.000242895817573241,0.000178370722941532,0.000330762679108006,7,1.55282395665327,0.55282395665327,1.40209662427794,1.7035512890286,0.402096624277942,0.703551289028597,7,0.548998805465278,0.350277878568703,0.747719732361852,4,197.8,1.45075724969886,0.450757249698861,5.85615576359217,3.73945877076289,7.977980327214,5.86179283034418,3.74150813230637,7.99051482702264,6,6.44316209434371,4.1181259614719,8.7881295321836,6.44937988685513,4.12036234238795,8.80200213606852,59.9675418767555,24.4744502681406,111.427908970763,54.7885189614186,22.3420613165921,101.92890714874
