Order,Family,Genus,Species,phylo,Segmented.neutrophils,Database,count_type,Notes,
Carnivora,Felidae,Acinonyx,jubatus,Acinonyx_jubatus,6.24,Global_sp_RI,automated,replaced_Downs,
Cetartiodactyla,Bovidae,Addax,nasomaculatus,Addax_nasomaculatus,3,Global_sp_RI,automated,replaced_Downs,
Cetartiodactyla,Bovidae,Aepyceros,melampus,Aepyceros_melampus,1.79,Basic_stats,automated,replaced_Downs,
Carnivora,Ursidae,Ailuropoda,melanoleuca,Ailuropoda_melanoleuca,3.93,Global_sp_RI,automated,replaced_Downs,
Carnivora,Ailuridae,Ailurus,fulgens,Ailurus_fulgens,2.63,Global_sp_RI,automated,replaced_Downs,
Cetartiodactyla,Cervidae,Alces,alces,Alces_alces,4.032,Global_sp_RI,calculated,replaced_Downs,
Cetartiodactyla,Bovidae,Alcelaphus,buselaphus,Alcelaphus_buselaphus,2.968,Basic_stats,calculated,new,
Cetartiodactyla,Cervidae,Alces,americanus,Alces_americanus,4.347,Global_sp_RI,automated,retained,
Primates,,Allenopithecus,nigroviridis,Allenopithecus_nigroviridis,2.89,Global_sp_RI,automated,new,
Primates,,Allochrocebus,lhoesti,Allochrocebus_lhoesti,3,Basic_stats,automated,new,
Primates,Atelidae,Alouatta,caraya,Alouatta_caraya,5.71,Global_sp_RI,automated,replaced_Downs,
Primates,Atelidae,Alouatta,pigra,Alouatta_pigra,8.78,Basic_stats,automated,new,
Primates,Atelidae,Alouatta,seniculus,Alouatta_seniculus,6.27,Basic_stats,automated,new,
Cetartiodactyla,Bovidae,Ammotragus,lervia,Ammotragus_lervia,4.82,Global_sp_RI,automated,replaced_Downs,
Cetartiodactyla,Bovidae,Antidorcas,marsupialis,Antidorcas_marsupialis,2.842,Global_sp_RI,calculated,replaced_Downs,
Cetartiodactyla,Antilocapridae,Antilocapra,americana,Antilocapra_americana,7.34,Global_sp_RI,automated,replaced_Downs,
Cetartiodactyla,Bovidae,Antilope,cervicapra,Antilope_cervicapra,1.46,Global_sp_RI,automated,replaced_Downs,
Carnivora,Mustelidae,Aonyx,capensis,Aonyx_capensis,3.773,Global_sp_RI,calculated,replaced_Downs,
Carnivora,Mustelidae,Aonyx,cinerea,Aonyx_cinerea,3.81,Global_sp_RI,automated,replaced_Downs,
Primates,Aotidae,Aotus,lemurinus,Aotus_lemurinus,5.35,Global_sp_RI,calculated,replaced_Downs,
Primates,Aotidae,Aotus,griseimembra,Aotus_griseimembra,3.86,Global_sp_RI,calculated,new,
Primates,Aotidae,Aotus,nancymaae,Aotus_nancymaae,2.526,Basic_stats,calculated,new,
Primates,Aotidae,Aotus,nigriceps,Aotus_nigriceps,4.385,Basic_stats,calculated,new,
Primates,Aotidae,Aotus,trivirgatus,Aotus_trivirgatus,2.763,Basic_stats,calculated,new,
Carnivora,Viverridae,Arctictis,binturong,Arctictis_binturong,6.24,Global_sp_RI,automated,replaced_Downs,
Carnivora,Otariidae,Arctocephalus,forsteri,Arctocephalus_forsteri,4.3,Basic_stats,calculated,new,
Carnivora,Otariidae,Arctocephalus,pusillus,Arctocephalus_pusillus,3.09,Basic_stats,automated,new,
Chiroptera,Phyllostomidae,Artibeus,jamaicensis,Artibeus_jamaicensis,2.35,,,retained,
Eulipotyphla,Erinaceidae,Atelerix,albiventris,Atelerix_albiventris,3.83,Global_sp_RI,automated,new,
Eulipotyphla,Erinaceidae,Atelerix,algirus,Atelerix_algirus,4.782,Global_sp_RI,automated,new,
Primates,Atelidae,Ateles,belzebuth,Ateles_belzebuth,8.26,Global_sp_RI,calculated,new,
Primates,Atelidae,Ateles,fusciceps,Ateles_fusciceps,11.53,Global_sp_RI,automated,replaced_Downs,
Primates,Atelidae,Ateles,geoffroyi,Ateles_geoffroyi,6.97,Global_sp_RI,automated,replaced_Downs,
Primates,Atelidae,Ateles,hybridus,Ateles_hybridus,7,Global_sp_RI,automated,new,
Primates,Atelidae,Ateles,paniscus,Ateles_paniscus,7.833,Basic_stats,calculated,new,
Cetartiodactyla,Cervidae,Axis,porcinus,Axis_porcinus,2.296,Global_sp_RI,calculated,replaced_Downs,
Cetartiodactyla,Suidae,Babyrousa,babyrussa,Babyrousa_babyrussa,3.78,Basic_stats,automated,new,
Cetartiodactyla,Suidae,Babyrousa,celebensis,Babyrousa_celebensis,3.07,Basic_stats,automated,new,
Carnivora,Procyonidae,Bassariscus,astutus,Bassariscus_astutus,1.846,Global_sp_RI,calculated,replaced_Downs,
Carnivora,Procyonidae,Bassariscus,sumichrasti,Bassariscus_sumichrasti,1.14,Global_sp_RI,calculated,replaced_Downs,
Diprotodontia,Potoroidae,Bettongia,penicillata,Bettongia_penicillata,2.026,Global_sp_RI,calculated,new,
Cetartiodactyla,Bovidae,Bison,bison,Bison_bison,2.57,Global_sp_RI,automated,replaced_Downs,
Cetartiodactyla,Bovidae,Bison,bonasus,Bison_bonasus,2.872,Global_sp_RI,automated,new,
Cetartiodactyla,Bovidae,Bos,frontalis,Bos_frontalis,3.731,Global_sp_RI,calculated,replaced_Downs,
Cetartiodactyla,Bovidae,Bos,gaurus,Bos_gaurus,3.248,Global_sp_RI,calculated,new,
Cetartiodactyla,Bovidae,Bos,grunniens,Bos_grunniens,2.45,Global_sp_RI,automated,replaced_Downs,
Cetartiodactyla,Bovidae,Bos,javanicus,Bos_javanicus,1.94,Global_sp_RI,automated,replaced_Downs,
Cetartiodactyla,Bovidae,Bos,taurus,Bos_taurus,2.35,Global_sp_RI,automated,new,
Cetartiodactyla,Bovidae,Boselaphus,tragocamelus,Boselaphus_tragocamelus,1.998,Global_sp_RI,calculated,replaced_Downs,
Cetartiodactyla,Bovidae,Bubalus,bubalis,Bubalus_bubalis,3.829,Global_sp_RI,calculated,new,
Cetartiodactyla,Bovidae,Bubalus,depressicornis,Bubalus_depressicornis,2.16,Global_sp_RI,calculated,replaced_Downs,
Cetartiodactyla,Bovidae,Budorcas,taxicolor,Budorcas_taxicolor,4.8,Global_sp_RI,automated,replaced_Downs,
Primates,Pitheciidae,Cacajao,calvus,Cacajao_calvus,4.888,Basic_stats,calculated,new,
Primates,Cebidae,Callimico,goeldii,Callimico_goeldii,2.13,Global_sp_RI,automated,replaced_Downs,
Primates,Cebidae,Callithrix,geoffroyi,Callithrix_geoffroyi,3.083,Global_sp_RI,calculated,new,
Primates,Cebidae,Callithrix,argentata,Callithrix_argentata,3.43,,,retained,
Primates,Cebidae,Callithrix,kuhlii,Callithrix_kuhlii,3.43,Global_sp_RI,calculated,new,
Primates,Cebidae,Callithrix,jacchus,Callithrix_jacchus,2.873,Global_sp_RI,calculated,replaced_Downs,
Primates,Cebidae,Callithrix,pygmaea,Callithrix_pygmaea,1.88,,,retained,
Carnivora,Otariidae,Callorhinus,ursinus,Callorhinus_ursinus,3.727,Global_sp_RI,calculated,replaced_Downs,
Rodentia,Sciuridae,Callosciurus,prevostii,Callosciurus_prevostii,2.16,Global_sp_RI,calculated,replaced_Downs,
Cetartiodactyla,Camelidae,Camelus,bactrianus,Camelus_bactrianus,7.93,Global_sp_RI,automated,replaced_Downs,
Cetartiodactyla,Camelidae,Camelus,dromedarius,Camelus_dromedarius,8.06,Global_sp_RI,automated,replaced_Downs,
Carnivora,Canidae,Canis,latrans,Canis_latrans,4.2,Global_sp_RI,automated,replaced_Downs,
Carnivora,Canidae,Canis,lupus,Canis_lupus,5.24,Global_sp_RI,automated,replaced_Downs,
Carnivora,Canidae,Canis,mesomelas,Canis_mesomelas,4.927,Global_sp_RI,calculated,replaced_Downs,
Carnivora,Canidae,Canis,rufus,Canis_rufus,5.6,Global_sp_RI,automated,new,
Cetartiodactyla,Bovidae,Capra,aegagrus,Capra_aegagrus,3.194,Basic_stats,calculated,new,
Cetartiodactyla,Bovidae,Capra,falconeri,Capra_falconeri,5.7,Global_sp_RI,automated,replaced_Downs,
Cetartiodactyla,Bovidae,Capra,hircus,Capra_hircus,4.21,,,retained,
Cetartiodactyla,Bovidae,Capra,ibex,Capra_ibex,2.76,Global_sp_RI,calculated,replaced_Downs,
Cetartiodactyla,Bovidae,Capra,nubiana,Capria_nubiana,3.995,Global_sp_RI,calculated,new,
Cetartiodactyla,Bovidae,Capra,sibirica,Capria_sibirica,5.084,Global_sp_RI,calculated,new,
Cetartiodactyla,Bovidae,Capricornis,crispus,Capricornis_crispus,5.615,Global_sp_RI,calculated,new,
Carnivora,Felidae,Caracal,caracal,Caracal_caracal,4.104,Global_sp_RI,calculated,replaced_Downs,
Rodentia,Castoridae,Castor,canadensis,Castor_canadensis,5.86,Global_sp_RI,automated,replaced_Downs,
Cetartiodactyla,Tayassuidae,Catagonus,wagneri,Catagonus_wagneri,4.08,Global_sp_RI,automated,new,
Carnivora,Felidae,Catopuma,temminckii,Catopuma_temminckii,5.261,Global_sp_RI,calculated,new,
Rodentia,Caviidae,Cavia,porcellus,Cavia_porcellus,2.431,Global_sp_RI,calculated,new,
Primates,Callitrichidae,Cebuella,pygmaea,Cebuella_pygmaea,26,Global_sp_RI,automated,new,flag
Primates,Cebidae,Cebus,capucinus,Cebus_capucinus,2.536,Global_sp_RI,calculated,replaced_Downs,
Primates,Cebidae,Cebus,albifrons,Cebus_albifrons,2.146,Global_sp_RI,calculated,new,
Cetartiodactyla,Bovidae,Cephalophus,dorsalis,Cephalophus_dorsalis,2.671,Global_sp_RI,calculated,replaced_Downs,
Cetartiodactyla,Bovidae,Cephalophus,niger,Cephalophus_niger,0.957,Global_sp_RI,calculated,replaced_Downs,
Cetartiodactyla,Bovidae,Cephalophus,rufilatus,Cephalophus_rufilatus,1.015,Global_sp_RI,calculated,replaced_Downs,
Cetartiodactyla,Bovidae,Cephalophus,silvicultor,Cephalophus_silvicultor,2.28,Global_sp_RI,automated,replaced_Downs,
Perissodactyla,Rhinocerotidae,Ceratotherium,simum,Ceratotherium_simum,5.2,Global_sp_RI,automated,replaced_Downs,
Primates,Cercopithecidae,Cercocebus,atys,Cercocebus_atys,2.858,Global_sp_RI,calculated,new,
Primates,Cercopithecidae,Cercocebus,torquatus,Cercocebus_torquatus,3.161,Global_sp_RI,calculated,replaced_Downs,
Primates,Cercopithecidae,Cercocebus,lunulatus,Cercocebus_lunulatus,3.145,Basic_stats,calculated,new,
Primates,Cercopithecidae,Cercocebus,chrysogaster,Cercocebus_chrysogaster,2.346,Global_sp_RI,calculated,new,
Primates,Cercopithecidae,Cercopithecus,ascanius,Cercopithecus_ascanius,2,Global_sp_RI,calculated,replaced_Downs,
Primates,Cercopithecidae,Cercopithecus,cephus,Cercopithecus_cephus,2.737,Global_sp_RI,calculated,new,
Primates,Cercopithecidae,Cercopithecus,diana,Cercopithecus_diana,3.236,Global_sp_RI,calculated,replaced_Downs,
Primates,Cercopithecidae,Cercopithecus,neglectus,Cercopithecus_neglectus,2.26,Global_sp_RI,automated,replaced_Downs,
Primates,Cercopithecidae,Cercopithecus,hamlyni,Cercopithecus_hamlyni,2.244,Basic_stats,calculated,new,
Primates,Cercopithecidae,Cercopithecus,mona,Cercopithecus_mona,2.205,Global_sp_RI,calculated,new,
Primates,Cercopithecidae,Cercopithecus,mitis,Cercopithecus_mitis,3.078,Global_sp_RI,calculated,new,
Primates,Cercopithecidae,Cercopithecus,nictitans,Cercopithecus_nictitans,2.679,Global_sp_RI,calculated,new,
Primates,Cercopithecidae,Cercopithecus,petaurista,Cercopithecus_petaurista,1.711,Global_sp_RI,calculated,new,
Primates,Cercopithecidae,Cercopithecus,pogonias,Cercopithecus_pogonias,1.711,Global_sp_RI,calculated,new,
Primates,Cercopithecidae,Cercopithecus,wolfi,Cercopithecus_wolfi,3.438,Global_sp_RI,calculated,new,
Cetartiodactyla,Cervidae,Cervus,albirostris,Cervus_albirostris,3.198,Global_sp_RI,calculated,new,
Cetartiodactyla,Cervidae,Cervus,canadensis,Cervus_canadensis,2.9,Global_sp_RI,automated,new,
Cetartiodactyla,Cervidae,Cervus,elaphus,Cervus_elaphus,1.669,Global_sp_RI,calculated,replaced_Downs,
Cetartiodactyla,Cervidae,Cervus,hanglu,Cervus_hanglu,2.412,Basic_stats,calculated,new,
Cetartiodactyla,Cervidae,Cervus,nippon,Cervus_nippon,2.4,Global_sp_RI,automated,replaced_Downs,
Cingulata,Chlamyphoridae,Chaetophractus,vellerosus,Chaetophractus_vellerosus,1.558,Global_sp_RI,calculated,new,
Primates,Cheirogaleidae,Cheirogaleus,medius,Cheirogaleus_medius,1.84,Global_sp_RI,calculated,replaced_Downs,
Rodentia,Chinchillidae,Chinchilla,lanigera,Chinchilla_lanigera,2.01,Global_sp_RI,automated,replaced_Downs,
Primates,Cercopithecidae,Chlorocebus,aethiops,Chlorocebus_aethiops,5.117,Global_sp_RI,calculated,new,
Primates,Cercopithecidae,Chlorocebus,pygerythrus,Chlorocebus_pygerythrus,1.83,Global_sp_RI,automated,new,
Cetartiodactyla,Hippopotamidae,Choeropsis,liberiensis,Choeropsis_liberiensis,5.581,Basic_stats,calculated,new,
Pilosa,Megalonychidae,Choloepus,didactylus,Choloepus_didactylus,3.9,Global_sp_RI,automated,replaced_Downs,
Pilosa,Megalonychidae,Choloepus,hoffmanni,Choloepus_hoffmanni,3.74,Global_sp_RI,automated,replaced_Downs,
Carnivora,Canidae,Chrysocyon,brachyurus,Chrysocyon_brachyurus,7,Global_sp_RI,automated,replaced_Downs,
Rodentia,Erethizontidae,Coendou,mexicanus,Coendou_mexicanus,4.979,Basic_stats,calculated,new,
Rodentia,Erethizontidae,Coendou,prehensilis,Coendou_prehensilis,3.01,Global_sp_RI,automated,replaced_Downs,
Primates,Cercopithecidae,Colobus,angolensis,Colobus_angolensis,3.08,Global_sp_RI,automated,new,
Primates,Cercopithecidae,Colobus,caudatus,Colobus_caudatus,4.661,Global_sp_RI,calculated,new,
Primates,Cercopithecidae,Colobus,guereza,Colobus_guereza,2.45,Global_sp_RI,automated,replaced_Downs,
Cetartiodactyla,Bovidae,Connochaetes,taurinus,Connochaetes_taurinus,2.7,Global_sp_RI,automated,replaced_Downs,
Carnivora,Hyaenidae,Crocuta,crocuta,Crocuta_crocuta,8.52,Global_sp_RI,calculated,replaced_Downs,
Carnivora,Herpestidae,Crossarchus,obscurus,Crossarchus_obscurus,4.216,Basic_stats,calculated,new,
Carnivora,Eupleridae,Cryptoprocta,ferox,Cryptoprocta_ferox,5.85,Global_sp_RI,automated,replaced_Downs,
Rodentia,Cuniculidae,Cuniculus,paca,Cuniculus_paca,1.92,Basic_stats,automated,new,
Carnivora,Canidae,Cuon,alpinus,Cuon_alpinus,7.473,Global_sp_RI,calculated,new,
Rodentia,Sciuridae,Cynomys,ludovicianus,Cynomys_ludovicianus,2.925,Global_sp_RI,calculated,replaced_Downs,
Diprotodontia,Petauridae,Dactylopsila,trivirgata,Dactylopsila_trivirgata,4.296,Global_sp_RI,calculated,replaced_Downs,
Cetartiodactyla,Cervidae,Dama,dama,Dama_dama,1.15,Global_sp_RI,automated,replaced_Downs,
Cetartiodactyla,Bovidae,Damaliscus,korrigum,Damaliscus_korrigum,2.709,Global_sp_RI,calculated,new,
Cetartiodactyla,Bovidae,Damaliscus,pygarus,Damaliscus_pygarus,2.106,Global_sp_RI,calculated,new,
Rodentia,Dasyproctidae,Dasyprocta,leporina,Dasyprocta_leporina,2.199,Global_sp_RI,calculated,replaced_Downs,
Rodentia,Dasyproctidae,Dasyprocta,punctata,Dasyprocta_punctata,3.528,Basic_stats,calculated,new,
Xenarthra,Dasypodidae,Dasypus,novemcinctus,Dasypus_novemcinctus,3.308,Global_sp_RI,calculated,replaced_Downs,
Dasyuromorphia,Dasyuridae,Dasyuroides,byrnei,Dasyuroides_byrnei,1.14,Basic_stats,calculated,new,
Dasyuromorphia,Dasyuridae,Dasyurus,geoffroii,Dasyurus_geoffroii,1.09,Global_sp_RI,calculated,new,
Dasyuromorphia,Dasyuridae,Dasyurus,maculatus,Dasyurus_maculatus,1.86,Basic_stats,calculated,new,
Primates,Daubentoniidae,Daubentonia,madagascariensis,Daubentonia_madagascariensis,4.004,Global_sp_RI,calculated,new,
Cetartiodactyla,Monodontidae,Delphinapterus,leucas,Delphinapterus_leucas,4.107,Global_sp_RI,calculated,replaced_Downs,
Diprotodontia,Macropodidae,Dendrolagus,goodfellowi,Dendrolagus_goodfellowi,2.313,Global_sp_RI,automated,new,
Diprotodontia,Macropodidae,Dendrolagus,matschiei,Dendrolagus_matschiei,1.761,Global_sp_RI,calculated,replaced_Downs,
Chiroptera,Phyllostomidae,Desmodus,rotundus,Desmodus_rotundus,1.748,Basic_stats,calculated,new,
Perissodactyla,Rhinocerotidae,Dicerorhinus,sumatrensis,Dicerorhinus_sumatrensis,4.302,Global_sp_RI,calculated,replaced_Downs,
Perissodactyla,Rhinocerotidae,Diceros,bicornis,Diceros_bicornis,4.82,Global_sp_RI,automated,replaced_Downs,
Didelphimorphia,Didelphidae,Didelphis,virginiana,Didelphis_virginiana,3.57,Global_sp_RI,automated,replaced_Downs,
Rodentia,Dinomyidae,Dinomys,branickii,Dinomys_branickii,4.025,Basic_stats,calculated,new,
Rodentia,Caviidae,Dolichotis,patagonum,Dolichotis_patagonum,4.28,Global_sp_RI,automated,replaced_Downs,
Afrosoricida,Tenrecidae,Echinops,telfairi,Echinops_telfairi,3.45,Global_sp_RI,calculated,new,
Chiroptera,Pteropodidae,Eidolon,helvum,Eidolon_helvum,1.02,Global_sp_RI,automated,replaced_Downs,
Carnivora,Mustelidae,Eira,barbara,Eira_barbara,4.528,Global_sp_RI,calculated,replaced_Downs,
Cetartiodactyla,Cervidae,Elaphodus,cephalophus,Elaphodus_cephalophus,1.892,Global_sp_RI,calculated,new,
Cetartiodactyla,Cervidae,Elaphurus,davidianus,Elaphurus_davidianus,2.88,Global_sp_RI,calculated,replaced_Downs,
Proboscidea,Elephantidae,Elephas,maximus,Elephas_maximus,3.12,Global_sp_RI,automated,replaced_Downs,
Carnivora,Mustelidae,Enhydra,lutris,Enhydra_lutris,3.42,Global_sp_RI,calculated,replaced_Downs,
Perissodactyla,Equidae,Equus,africanus,Equus_africanus,4.142,Global_sp_RI,calculated,new,
Perissodactyla,Equidae,Equus,asinus,Equus_asinus,3.46,Global_sp_RI,automated,new,
Perissodactyla,Equidae,Equus,burchellii,Equus_burchellii,5.29,,,retained,
Perissodactyla,Equidae,Equus,caballus,Equus_caballus,3.59,Global_sp_RI,automated,replaced_Downs,
Perissodactyla,Equidae,Equus,grevyi,Equus_grevyi,3.63,Global_sp_RI,automated,replaced_Downs,
Perissodactyla,Equidae,Equus,hemionus,Equus_hemionus,6.595,Global_sp_RI,calculated,new,
Perissodactyla,Equidae,Equus,quagga,Equus_quagga,3.89,Global_sp_RI,automated,new,
Perissodactyla,Equidae,Equus,zebra,Equus_zebra,4.55,Global_sp_RI,automated,replaced_Downs,
Rodentia,Erethizontidae,Erethizon,dorsatum,Erethizon_dorsatum,3.99,Global_sp_RI,automated,replaced_Downs,
Primates,Cercopithecidae,Erythrocebus,patas,Erythrocebus_patas,1.6,Global_sp_RI,automated,replaced_Downs,
Cetartiodactyla,Bovidae,Eudorcas,thomsonii,Eudorcas_thomsonii,1.6,Global_sp_RI,calculated,replaced_Downs,
Primates,Lemuridae,Eulemur,albifrons,Eulemur_albifrons,3.808,Global_sp_RI,calculated,new,
Primates,Lemuridae,Eulemur,collaris,Eulemur_collaris,3.783,Global_sp_RI,calculated,new,
Primates,Lemuridae,Eulemur,coronatus,Eulemur_coronatus,2.75,Global_sp_RI,automated,replaced_Downs,
Primates,Lemuridae,Eulemur,fulvus,Eulemur_fulvus,2.517,Global_sp_RI,calculated,replaced_Downs,
Primates,Lemuridae,Eulemur,macaco,Eulemur_macaco,4.43,Global_sp_RI,calculated,replaced_Downs,
Primates,Lemuridae,Eulemur,mongoz,Eulemur_mongoz,2.08,Global_sp_RI,automated,replaced_Downs,
Primates,Lemuridae,Eulemur,rubriventer,Eulemur_rubriventer,3.648,Global_sp_RI,calculated,replaced_Downs,
Primates,Lemuridae,Eulemur,rufus,Eulemur_rufus,2.28,Global_sp_RI,calculated,new,
Primates,Lemuridae,Eulemur,sanfordi,Eulemur_sanfordi,2.517,Global_sp_RI,calculated,new,
Carnivora,Otariidae,Eumetopias,jubatus,Eumetopias_jubatus,5.2,Basic_stats,calculated,new,
Cingulata,Chlamyphoridae,Euphractus,sexcinctus,Euphractus_sexcinctus,2.29,Global_sp_RI,automated,new,
Carnivora,Felidae,Felis,margarita,Felis_margarita,5,Global_sp_RI,automated,new,
Carnivora,Felidae,Felis,chaus,Felis_chaus,4.815,Basic_stats,calculated,new,
Carnivora,Felidae,Felis,nigripes,Felis_nigripes,4.43,Global_sp_RI,automated,replaced_Downs,
Carnivora,Felidae,Felis,silvestris,Felis_silvestris,3.77,Global_sp_RI,calculated,replaced_Downs,
Primates,Galagidae,Galago,moholi,Galago_moholi,1.32,Global_sp_RI,calculated,replaced_Downs,
Cetartiodactyla,Bovidae,Gazella,cuvieri,Gazella_cuvieri,3.28,Global_sp_RI,calculated,new,
Cetartiodactyla,Bovidae,Gazella,dorcas,Gazella_dorcas,2.58,,,retained,
Cetartiodactyla,Bovidae,Gazella,leptoceros,Gazella_leptoceros,1.836,Global_sp_RI,calculated,replaced_Downs,
Cetartiodactyla,Bovidae,Gazella,marica,Gazella_marica,2.128,Global_sp_RI,calculated,new,
Cetartiodactyla,Bovidae,Gazella,spekei,Gazella_spekei,1.637,Global_sp_RI,calculated,new,
Cetartiodactyla,Bovidae,Gazella,subgutturosa,Gazella_subgutturosa,1.83,Basic_stats,automated,replaced_Downs,
Carnivora,Viverridae,Genetta,genetta,Genetta_genetta,4.446,Basic_stats,calculated,new,
Carnivora,Viverridae,Genetta,tigrina,Genetta_tigrina,3.92,Basic_stats,calculated,new,
Cetartiodactyla,Giraffidae,Giraffa,camelopardalis,Giraffa_camelopardalis,6.39,Global_sp_RI,automated,replaced_Downs,
Primates,Hominidae,Gorilla,gorilla,Gorilla_gorilla,3.18,Global_sp_RI,automated,replaced_Downs,
