"order","mu","Tw_constant","Tw_complete","g0","Tv_constant","Tv_complete","rstar_constant","rstar_complete","alphastar_human_constant","alphastar_human_complete"
"Afrosoricida","3.50e-04 [2.68e-04-4.57e-04]","1.39 [1.26-1.53]","0.394 [0.258-0.53]","NA [NA-NA]",1.45,0.451,"NA [NA-NA]","NA [0-NA]","NA [NA-NA]","NA [NA-NA]"
"Carnivora","2.18e-04 [2.02e-04-2.34e-04]","1.6 [1.52-1.69]","0.601 [0.515-0.686]","0.477 [0.348-0.606]",1.48,0.478,"5.02 [3.66-6.37]","5.1 [3.74-6.46]","0.185 [0.0976-0.302]","0.168 [0.0895-0.273]"
"Cetartiodactyla","3.02e-04 [2.76e-04-3.30e-04]","1.46 [1.37-1.55]","0.458 [0.369-0.547]","0.261 [0.121-0.401]",1.48,0.478,"2.75 [1.27-4.22]","2.81 [1.34-4.29]","0.0544 [0.011-0.132]","0.0502 [0.0105-0.121]"
"Chiroptera","9.31e-05 [8.27e-05-1.05e-04]","1.97 [1.88-2.06]","0.969 [0.875-1.06]","0.685 [0.518-0.853]",1.48,0.478,"7.2 [5.45-8.96]","7.28 [5.51-9.04]","0.384 [0.218-0.597]","0.345 [0.197-0.536]"
"Cingulata","1.75e-04 [1.31e-04-2.34e-04]","1.69 [1.55-1.84]","0.695 [0.55-0.839]","0.408 [0.186-0.63]",1.45,0.451,"4.29 [1.96-6.62]","4.36 [2.01-6.7]","0.136 [0.0272-0.328]","0.125 [0.0256-0.3]"
"Dasyuromorphia","3.71e-04 [3.21e-04-4.29e-04]","1.37 [1.27-1.47]","0.369 [0.269-0.469]","NA [NA-NA]",1.11,0.111,"NA [NA-NA]","NA [0-NA]","NA [NA-NA]","NA [NA-NA]"
"Dermoptera","1.95e-04 [1.05e-04-3.61e-04]","1.65 [1.38-1.91]","0.648 [0.382-0.915]","NA [NA-NA]",NA,NA,"NA [NA-NA]","NA [0-NA]","NA [NA-NA]","NA [NA-NA]"
"Didelphimorphia","5.05e-04 [4.07e-04-6.26e-04]","1.23 [1.12-1.35]","0.235 [0.116-0.354]","0.513 [0.291-0.735]",1.11,0.111,"5.4 [3.07-7.73]","5.51 [3.16-7.86]","0.245 [0.078-0.507]","0.248 [0.0808-0.509]"
"Diprotodontia","2.65e-04 [2.38e-04-2.96e-04]","1.51 [1.42-1.61]","0.515 [0.423-0.607]","0.154 [0-0.308]",1.11,0.111,"1.62 [0.00426-3.24]","1.67 [0.049-3.29]","0.0212 [0-0.0891]","0.0219 [0-0.0894]"
"Eulipotyphla","4.13e-04 [3.58e-04-4.76e-04]","1.32 [1.22-1.42]","0.322 [0.223-0.422]","NA [NA-NA]",1.48,0.478,"NA [NA-NA]","NA [0-NA]","NA [NA-NA]","NA [NA-NA]"
"Hyracoidea","2.53e-04 [1.71e-04-3.73e-04]","1.54 [1.36-1.72]","0.536 [0.356-0.716]","0.659 [0.437-0.881]",1.45,0.451,"6.93 [4.59-9.26]","7.03 [4.67-9.39]","0.358 [0.156-0.642]","0.328 [0.144-0.589]"
"Lagomorpha","3.09e-04 [2.47e-04-3.88e-04]","1.45 [1.32-1.57]","0.448 [0.325-0.571]","NA [NA-NA]",1.52,0.516,"NA [NA-NA]","NA [0-NA]","NA [NA-NA]","NA [NA-NA]"
"Macroscelidea","2.92e-04 [2.10e-04-4.07e-04]","1.47 [1.31-1.63]","0.473 [0.314-0.632]","NA [NA-NA]",1.45,0.451,"NA [NA-NA]","NA [0-NA]","NA [NA-NA]","NA [NA-NA]"
"Microbiotheria","3.02e-04 [1.63e-04-5.58e-04]","1.46 [1.19-1.73]","0.459 [0.192-0.726]","NA [NA-NA]",1.11,0.111,"NA [NA-NA]","NA [0-NA]","NA [NA-NA]","NA [NA-NA]"
"Monotremata","1.28e-04 [8.28e-05-1.98e-04]","1.83 [1.63-2.03]","0.831 [0.634-1.03]","0.819 [0.633-1]",1,0,"8.61 [6.65-10.6]","8.7 [6.72-10.7]","0.663 [0.395-1]","0.661 [0.394-1]"
"Notoryctemorphia","4.69e-04 [2.54e-04-8.68e-04]","1.27 [1-1.53]","0.267 [0-0.534]","NA [NA-NA]",1.11,0.111,"NA [NA-NA]","NA [0-NA]","NA [NA-NA]","NA [NA-NA]"
"Peramelemorphia","4.63e-04 [3.40e-04-6.32e-04]","1.27 [1.12-1.42]","0.272 [0.121-0.423]","NA [NA-NA]",1.11,0.111,"NA [NA-NA]","NA [0-NA]","NA [NA-NA]","NA [NA-NA]"
"Perissodactyla","2.29e-04 [1.79e-04-2.92e-04]","1.58 [1.45-1.71]","0.578 [0.449-0.708]","NA [NA-NA]",1.48,0.478,"NA [NA-NA]","NA [0-NA]","NA [NA-NA]","NA [NA-NA]"
"Pholidota","2.66e-04 [1.44e-04-4.92e-04]","1.51 [1.25-1.78]","0.513 [0.246-0.78]","NA [NA-NA]",1.48,0.478,"NA [NA-NA]","NA [0-NA]","NA [NA-NA]","NA [NA-NA]"
"Pilosa","2.43e-04 [1.78e-04-3.31e-04]","1.55 [1.4-1.7]","0.553 [0.402-0.704]","0.451 [0.28-0.621]",1.45,0.451,"4.74 [2.94-6.53]","4.82 [3.01-6.63]","0.166 [0.0631-0.319]","0.153 [0.0587-0.293]"
"Primates","1.23e-04 [1.13e-04-1.34e-04]","1.85 [1.76-1.94]","0.849 [0.762-0.936]","0.529 [0.392-0.665]",2,1,"5.56 [4.13-6.99]","5.63 [4.19-7.06]","0.202 [0.11-0.322]","0.129 [0.0708-0.207]"
"Proboscidea","1.93e-04 [1.16e-04-3.23e-04]","1.65 [1.42-1.88]","0.652 [0.425-0.878]","0.54 [0.149-0.931]",1.45,0.451,"5.68 [1.57-9.78]","5.76 [1.63-9.9]","0.239 [0.0172-0.718]","0.219 [0.0164-0.655]"
"Rodentia","2.97e-04 [2.77e-04-3.19e-04]","1.47 [1.38-1.55]","0.465 [0.38-0.55]","0.477 [0.335-0.619]",1.52,0.516,"5.02 [3.53-6.51]","5.11 [3.61-6.6]","0.183 [0.0895-0.311]","0.164 [0.0813-0.278]"
"Scandentia","2.02e-04 [1.41e-04-2.89e-04]","1.63 [1.46-1.8]","0.633 [0.465-0.801]","NA [NA-NA]",1.53,0.529,"NA [NA-NA]","NA [0-NA]","NA [NA-NA]","NA [NA-NA]"
"Sirenia","2.12e-04 [1.36e-04-3.30e-04]","1.61 [1.41-1.81]","0.612 [0.412-0.811]","NA [NA-NA]",1.45,0.451,"NA [NA-NA]","NA [0-NA]","NA [NA-NA]","NA [NA-NA]"
"Tubulidentata","2.28e-04 [1.23e-04-4.22e-04]","1.58 [1.31-1.85]","0.58 [0.313-0.847]","0.343 [0.118-0.568]",1.45,0.451,"3.61 [1.25-5.97]","3.68 [1.29-6.07]","0.0956 [0.0106-0.267]","0.0884 [0.01-0.246]"
